"# PDIoT walking data"
"# Start time: 20190924T085329"
"# Group: A"
"# Subject: Collecting"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper Leg"
"# Side of body: Left"
"# Sensor mounting: Pocket"
"# Number of steps: 10"
"# Notes: 1, 10 steps"
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1569311609639","0","-0.9892578","-0.14160156","0.13574219","-4.15625","-1.3125","-0.1875"
"1569311609734","1","-0.9863281","-0.14453125","0.15234375","-7.59375","-0.875","0.46875"
"1569311609821","2","-0.9863281","-0.13183594","0.13867188","-12.71875","-0.8125","-0.5625"
"1569311609916","3","-0.98535156","-0.1640625","0.14746094","-12.96875","-1.40625","-2.28125"
"1569311610032","4","-0.98046875","-0.18066406","0.16796875","-5.25","-3.75","-3.75"
"1569311610120","5","-0.9941406","-0.16015625","0.17480469","-7.9375","-10.40625","-3.875"
"1569311610238","6","-0.953125","-0.23828125","0.20605469","-3.0","-31.4375","1.21875"
"1569311610333","7","-0.921875","-9.765625E-4","0.19433594","105.15625","-92.1875","29.15625"
"1569311610417","8","-0.8125","-0.095703125","0.47265625","-30.96875","-55.625","11.09375"
"1569311610509","9","-0.7246094","-0.1328125","0.47070312","-9.46875","-11.84375","9.375"
"1569311610628","10","-0.7128906","-0.001953125","0.54589844","-5.375","5.28125","-8.375"
"1569311610718","11","-0.76953125","0.0859375","0.6191406","-20.34375","1.375","7.625"
"1569311610809","12","-0.83691406","-0.15039062","0.7451172","-46.71875","-7.03125","-3.90625"
"1569311610928","13","-1.4404297","-0.09765625","0.4453125","41.65625","19.5625","20.90625"
"1569311611019","14","-0.93066406","-0.23242188","-0.024414062","41.71875","38.5","-23.6875"
"1569311611138","15","-0.9394531","-0.22265625","0.18359375","-9.71875","58.75","-21.0"
"1569311611229","16","-0.8623047","-0.05859375","0.16992188","-23.8125","51.9375","-5.625"
